product_id,name,category,price,stock_quantity
1,Product_1,Clothing,482.68,958
2,Product_2,Clothing,16.76,392
3,Product_3,Clothing,452.27,273
4,Product_4,Books,308.93,740
5,Product_5,Sports,21.32,669
6,Product_6,Books,695.84,63
7,Product_7,Beauty,127.04,314
8,Product_8,Clothing,411.36,514
9,Product_9,Beauty,772.14,706
10,Product_10,Electronics,642.32,963
11,Product_11,Books,373.87,226
12,Product_12,Clothing,957.79,489
13,Product_13,Clothing,460.43,620
14,Product_14,Books,421.69,562
15,Product_15,Home & Garden,759.78,821
16,Product_16,Beauty,827.35,780
17,Product_17,Clothing,683.54,610
18,Product_18,Electronics,530.25,540
19,Product_19,Beauty,368.17,939
20,Product_20,Sports,121.09,848
21,Product_21,Sports,903.86,207
22,Product_22,Sports,541.29,168
23,Product_23,Books,855.94,452
24,Product_24,Electronics,683.49,734
25,Product_25,Sports,493.94,920
26,Product_26,Sports,451.03,56
27,Product_27,Home & Garden,140.62,425
28,Product_28,Home & Garden,568.27,572
29,Product_29,Home & Garden,676.04,315
30,Product_30,Beauty,31.55,260
31,Product_31,Electronics,748.35,592
32,Product_32,Electronics,54.84,352
33,Product_33,Beauty,73.12,61
34,Product_34,Electronics,986.28,483
35,Product_35,Electronics,294.22,184
36,Product_36,Clothing,768.17,746
37,Product_37,Beauty,964.14,383
38,Product_38,Home & Garden,454.05,939
39,Product_39,Home & Garden,381.89,699
40,Product_40,Beauty,875.81,136
41,Product_41,Beauty,861.68,121
42,Product_42,Clothing,992.92,402
43,Product_43,Sports,136.07,228
44,Product_44,Electronics,758.62,305
45,Product_45,Home & Garden,676.76,557
46,Product_46,Home & Garden,536.61,843
47,Product_47,Clothing,255.04,354
48,Product_48,Clothing,282.89,959
49,Product_49,Beauty,767.84,32
50,Product_50,Beauty,425.05,784
51,Product_51,Electronics,248.26,68
52,Product_52,Electronics,598.0,457
53,Product_53,Sports,675.3,893
54,Product_54,Electronics,252.29,45
55,Product_55,Home & Garden,444.57,552
56,Product_56,Clothing,756.84,794
57,Product_57,Electronics,148.73,296
58,Product_58,Clothing,817.63,749
59,Product_59,Sports,325.71,612
60,Product_60,Beauty,820.2,242
61,Product_61,Books,877.5,676
62,Product_62,Sports,228.83,307
63,Product_63,Books,70.35,971
64,Product_64,Sports,880.92,933
65,Product_65,Clothing,629.73,437
66,Product_66,Sports,500.66,995
67,Product_67,Books,942.17,687
68,Product_68,Home & Garden,787.95,326
69,Product_69,Beauty,422.16,152
70,Product_70,Books,382.7,772
71,Product_71,Sports,478.78,869
72,Product_72,Clothing,307.73,724
73,Product_73,Clothing,807.72,936
74,Product_74,Electronics,566.76,991
75,Product_75,Home & Garden,561.71,137
76,Product_76,Home & Garden,250.43,208
77,Product_77,Books,650.24,944
78,Product_78,Home & Garden,848.66,94
79,Product_79,Sports,727.34,195
80,Product_80,Electronics,275.78,689
81,Product_81,Sports,606.89,894
82,Product_82,Electronics,196.28,779
83,Product_83,Sports,727.06,572
84,Product_84,Clothing,484.6,890
85,Product_85,Books,310.16,930
86,Product_86,Electronics,219.69,194
87,Product_87,Beauty,126.14,772
88,Product_88,Home & Garden,915.3,712
89,Product_89,Sports,706.73,406
90,Product_90,Clothing,556.56,794
91,Product_91,Books,386.86,546
92,Product_92,Beauty,365.67,267
93,Product_93,Books,517.69,509
94,Product_94,Home & Garden,107.62,739
95,Product_95,Home & Garden,764.01,327
96,Product_96,Clothing,377.0,423
